resourceId,datArchive,resourceType,unrealAssetPath,referencingLayout,layoutName,referencingElement,notes
"0x060011A6","client_portal.dat","Image","AC_UI_Icon_060011A6","0x21000045","","StatManagement_Template/StatManagement_Header/StatManagement_Header_XPToLevelMeter",""
"0x060011AB","client_portal.dat","Image","AC_UI_Icon_060011AB","0x21000006","classic_chat","RootChat_Field/ChatEntryField/ChatPanelTextEntry",""
"0x060011AB","client_portal.dat","Image","AC_UI_Icon_060011AB","0x2100006F","classic_floatymainchat","RootFloatyMainChat_Field/ChatEntryField/ChatPanelTextEntry",""
"0x060011B9","client_portal.dat","Image","AC_UI_Icon_060011B9","0x21000008","classic_externalcontainer","RootExternalContainer_Field/ItemsArea/TopEdge",""
"0x060011B9","client_portal.dat","Image","AC_UI_Icon_060011B9","0x21000008","classic_externalcontainer","RootExternalContainer_Field/ItemsArea/BottomEdge",""
"0x060011BA","client_portal.dat","Image","AC_UI_Icon_060011BA","0x21000008","classic_externalcontainer","RootExternalContainer_Field/ItemsArea/LeftEdge",""
"0x060011BA","client_portal.dat","Image","AC_UI_Icon_060011BA","0x21000008","classic_externalcontainer","RootExternalContainer_Field/ItemsArea/RightEdge",""
"0x060011BC","client_portal.dat","Image","AC_UI_Icon_060011BC","0x21000008","classic_externalcontainer","RootExternalContainer_Field/CloseExtContainerPanelButton",""
"0x060011BD","client_portal.dat","Image","AC_UI_Icon_060011BD","0x21000008","classic_externalcontainer","RootExternalContainer_Field/CloseExtContainerPanelButton",""
"0x060011F7","client_portal.dat","Image","AC_UI_Icon_060011F7","0x21000037","ItemSlot","ItemSlot_GenericContainerDragOver",""
"0x060011F8","client_portal.dat","Image","AC_UI_Icon_060011F8","0x21000037","ItemSlot","ItemSlot_GenericDragOver",""
"0x060011F8","client_portal.dat","Image","AC_UI_Icon_060011F8","0x21000037","ItemSlot","ItemSlot_GenericContainerDragOver",""
"0x060011F8","client_portal.dat","Image","AC_UI_Icon_060011F8","0x21000037","ItemSlot","ItemSlot_GenericShortcutDragOver",""
"0x060011F9","client_portal.dat","Image","AC_UI_Icon_060011F9","0x21000037","ItemSlot","ItemSlot_GenericDragOver",""
"0x060011F9","client_portal.dat","Image","AC_UI_Icon_060011F9","0x21000037","ItemSlot","ItemSlot_GenericContainerDragOver",""
"0x060011FA","client_portal.dat","Image","AC_UI_Icon_060011FA","0x21000037","ItemSlot","ItemSlot_GenericShortcutDragOver",""
"0x060011FB","client_portal.dat","Image","AC_UI_Icon_060011FB","0x21000017","classic_panel","RootPanel_Field/Radar/RadarNorth",""
"0x060011FB","client_portal.dat","Image","AC_UI_Icon_060011FB","0x21000074","classic_floatyradar","RootFloatyRadar_Field/RadarNorth",""
"0x06001200","client_portal.dat","Image","AC_UI_Icon_06001200","0x21000007","classic_combat","RootCombat_Field/PowerSlider/PowerMeter/2",""
"0x06001200","client_portal.dat","Image","AC_UI_Icon_06001200","0x2100000A","classic_powerbar","RootPowerbar_Field/Powerbar/2",""
"0x06001200","client_portal.dat","Image","AC_UI_Icon_06001200","0x2100000A","classic_powerbar","RootPowerbar_Field/Powerbar/2",""
